㓘:;10278.090	同玊。集韻「玊、琢玉工。或作㓘」。
㐫:/亠0,_乂0,凵	;10283.020	同凶。篇海類編
㠩:;10283.040	說文「从川、亡聲」。
㐬:𡿮1	;10284.040	同旒。集韻
㐭:/亠,回0	;10284.070	同廪。說文㐭部「㐭、穀所振入」
䯧:;10290.050	同廎。說文「从高省、冋聲」。
㐮:襄1	;10291.080	同㐮。宋元以來俗字譜
㐯:;10294.020	𠆌譌字。康熙字典備考亠部「按卽𠆌字之譌」（漢語大字典、爲此「康熙字典・亠部」、誤。）
䯬:;10294.230	同𡅄。
㓅:;10295.030	玉篇、他丁切。
㓇:;10295.091	?
㓈:;10295.130	玉篇、彼孕切。
㓋:;10297.010	集韻、巨勇切。
㓊:;10297.040	廣韻、徒弄切。
㓉:;10297.070	玉篇、胡括切。
㓌:;10297.090	字彙補、充生切、「冷貌」。
㓏:;10297.220	改併四聲篇海所引龍龕手鑑、古迥切。漢語大字典曰、龍龕手鑑作「𠖷」。
㓎:;10297.260	集韻、千尋切、又、七鴆切、又、七稔切。
㓐:;10298.020	集韻、力竹切。
㓑:;10298.040	集韻、下頂切。
㓓:;10299.190	玉篇、奴含切。
㓕:;10300.011	?
㓔:;10300.050	同謝。張愼儀蜀方言「花殘曰㓔……今用謝字」。
㓖:;10300.170	說文「从仌、畢聲」。
㓗:;10300.230	同潔。玉篇「㓗、俗絜字」。
㓂:;10304.010	同寇。正字通「寇、俗作㓂」。
㓃:;10305.070	說文「从冖、託聲」。
㔾:;10310.100	一、改併四聲篇海所引奚韻、音纖。二、同卩。字彙「㔾、卽卩字」。
㕁:;10315.010	同卻。正字通「㕁、俗卻字」。
㓚:;10324.010	廣韻、古紅切。
㓞:;10324.110	說文「从刀、丯聲」。
㓝:;10325.010	說文「从井、从刀」。
㓠:;10328.100	說文、「从刀、占聲」。
㓟:;10331.090	集韻、蒲糜切、又、攀糜切。
㓤:;10332.130	廣韻、恪八切。又、同㓞。玉篇「㓤、與㓞同」。
